seller_id;seller_autonomous_community;seller_city;lat_seller;long_sell;id_ac;count_sold;review_avg;delta_eff;delta_est
0015a82c2db000af6aaaf3ae2ecb0532;Andalucía;Córdoba;37.8845;-4.7796;1;3;4.333333333;10.74652778;24.43541667
001cca7ae9ae17fb1caed9dfb1094831;Castilla-La Mancha;Albacete;38.9956;-1.8558;6;199;4.162436548;11.16840278;25.19652778
002100f778ceb8431b7a1020ff7ab48f;Andalucía;Málaga;36.7194;-4.42;1;50;3.890909091;14.01319444;22.53194444
003554e2dce176b5555353e4f3555ac8;Aragón;Zaragoza;41.6483;-0.883;2;1;4;4.646527778;30.71388889
004c9cd9d87a3c30c522c48c4fc07416;Andalucía;Granada;37.1781;-3.6008;1;157;4.162337662;12.71909722;24.79930556
00720abe85ba0859807595bbf045a33b;Andalucía;Cádiz;36.535;-6.2975;1;13;4.5625;9.993055556;16.39166667
00ab3eff1b5192e5f1a63bcecfee11c8;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;1;5;9.052777778;18.51388889
00d8b143d12632bad99c0ad66ad52825;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;1;5;7.233333333;28.52986111
00ee68308b45bc5e2660cd833c3f81cc;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;133;4.178571429;6.910069444;19.12569444
00fc707aaaad2d31347cf883cd2dfe10;Galicia;Lugo;43.0167;-7.55;12;102;4.216981132;13.91666667;29.46180556
010543a62bd80aa422851e79a3bc7540;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;2;5;9.085069444;16.83923611
010da0602d7774602cd1b3f5fb7b709e;Andalucía;Granada;37.1781;-3.6008;1;1;4;26.11458333;35.22430556
011b0eaba87386a2ae96a7d32bb531d1;Andalucía;Huelva;37.25;-6.95;1;1;5;25.17986111;54.70277778
01266d4c46afa519678d16a8b683d325;Galicia;Coruña;43.3713;-8.4188;12;3;4.666666667;5.238888889;14.19861111
013900e863eace745d3ec7614cab5b1a;Galicia;Coruña;43.3713;-8.4188;12;23;4.125;10.83472222;27.33541667
014c0679dd340a0e338872e7ec85666a;Comunidad de Madrid;Alcorcón;40.35;-3.8333;8;14;4.214285714;18.78645833;27.65659722
014d9a685fd57276679edd00e07089e5;Galicia;Lugo;43.0167;-7.55;12;10;4.538461538;8.627430556;20.02326389
0176f73cc1195f367f7b32db1e5b3aa8;Andalucía;Granada;37.1781;-3.6008;1;37;4.048780488;9.286111111;20.2625
01bcc9d254a0143f0ce9791b960b2a47;Aragón;Huesca;42.1333;-0.4167;2;11;4.4;11.02673611;30.26909722
01c97ebb5cdac52891c0ed1c37ba0012;Andalucía;Huelva;37.25;-6.95;1;9;3.444444444;15.09305556;19.57013889
01cf7e3d21494c41fb86034f2e714fa1;Galicia;Ourense;42.3364;-7.8633;12;61;3.95;9.255555556;24.19583333
01ed254b9ff8407dfb9d99ba1e17d923;Andalucía;Jaén;37.7667;-3.7711;1;5;4.2;5.077777778;20.3875
01fd077212124329bac32490e8ef80d9;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;31;4.129032258;7.109722222;15.94131944
01fdefa7697d26ad920e9e0346d4bd1b;Galicia;Ourense;42.3364;-7.8633;12;129;3.914728682;8.173958333;24.35659722
0241d4d5d36f10f80c644447315af0bd;Galicia;Coruña;43.3713;-8.4188;12;230;4.16872428;8.938888889;23.46041667
0249d282d911d23cb8b869ab49c99f53;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;11;4.333333333;6.90625;17.33680556
024b564ae893ce8e9bfa02c10a401ece;Comunidad de Madrid;Madrid;40.4167;-3.7167;8;2;4;15.33923611;51.84479167
028872bfa080090a9d0abd4f1af168f8;Comunidad de Madrid;Leganés;40.3281;-3.7644;8;1;4;16.48125;30.61805556
02b72cdeb9cfcc429f1af6f4e3f3b737;Andalucía;Granada;37.1781;-3.6008;1;4;3.75;12.32951389;21.196875
