seller_id,seller_autonomous_community,seller_city,lat_seller,long_sell,id_ac,count_sold,revenues,review_avg
0015a82c2db000af6aaaf3ae2ecb0532,Andalucía,Córdoba,37.8845,-4.7796,1,3,2685,4.333333
001cca7ae9ae17fb1caed9dfb1094831,Castilla-La Mancha,Albacete,38.9956,-1.8558,6,199,25080.03,4.162437
001e6ad469a905060d959994f1b41e4f,Cataluña,Tarragona,41.1187,1.2453,7,1,250,5
002100f778ceb8431b7a1020ff7ab48f,Andalucía,Málaga,36.7194,-4.42,1,50,1234.5,3.890909
003554e2dce176b5555353e4f3555ac8,Aragón,Zaragoza,41.6483,-0.883,2,1,120,4
004c9cd9d87a3c30c522c48c4fc07416,Andalucía,Granada,37.1781,-3.6008,1,157,19712.71,4.162338
00720abe85ba0859807595bbf045a33b,Andalucía,Cádiz,36.535,-6.2975,1,13,1007.5,4.5625
00ab3eff1b5192e5f1a63bcecfee11c8,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,1,98,5
00d8b143d12632bad99c0ad66ad52825,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,1,86,5
00ee68308b45bc5e2660cd833c3f81cc,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,133,20260,4.178571
00fc707aaaad2d31347cf883cd2dfe10,Galicia,Lugo,43.0167,-7.55,12,102,12684.9,4.216981
010543a62bd80aa422851e79a3bc7540,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,2,1416,5
010da0602d7774602cd1b3f5fb7b709e,Andalucía,Granada,37.1781,-3.6008,1,1,849.5,4
011b0eaba87386a2ae96a7d32bb531d1,Andalucía,Huelva,37.25,-6.95,1,1,99.98,5
01266d4c46afa519678d16a8b683d325,Galicia,Coruña,43.3713,-8.4188,12,3,90.25,4.666667
013900e863eace745d3ec7614cab5b1a,Galicia,Coruña,43.3713,-8.4188,12,23,1619.7,4.125
014c0679dd340a0e338872e7ec85666a,Comunidad de Madrid,Alcorcón,40.35,-3.8333,8,14,7058,4.214286
014d9a685fd57276679edd00e07089e5,Galicia,Lugo,43.0167,-7.55,12,10,729.88,4.538462
0176f73cc1195f367f7b32db1e5b3aa8,Andalucía,Granada,37.1781,-3.6008,1,37,4733.1,4.04878
01bcc9d254a0143f0ce9791b960b2a47,Aragón,Huesca,42.1333,-0.4167,2,11,1521.21,4.4
01c97ebb5cdac52891c0ed1c37ba0012,Andalucía,Huelva,37.25,-6.95,1,9,577.5,3.444444
01cf7e3d21494c41fb86034f2e714fa1,Galicia,Ourense,42.3364,-7.8633,12,61,9729.36,3.95
01ed254b9ff8407dfb9d99ba1e17d923,Andalucía,Jaén,37.7667,-3.7711,1,5,1465.99,4.2
01fd077212124329bac32490e8ef80d9,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,31,1208,4.129032
01fdefa7697d26ad920e9e0346d4bd1b,Galicia,Ourense,42.3364,-7.8633,12,129,14921.43,3.914729
0241d4d5d36f10f80c644447315af0bd,Galicia,Coruña,43.3713,-8.4188,12,230,31397.7,4.168724
0249d282d911d23cb8b869ab49c99f53,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,11,393,4.333333
024b564ae893ce8e9bfa02c10a401ece,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,2,706.4,4
028872bfa080090a9d0abd4f1af168f8,Comunidad de Madrid,Leganés,40.3281,-3.7644,8,1,70.5,4
02a2272692e13558373c66db98f05e2e,Cataluña,Barcelona,41.3825,2.1769,7,2,54.98,4.5
02b72cdeb9cfcc429f1af6f4e3f3b737,Andalucía,Granada,37.1781,-3.6008,1,4,522.65,3.75
02c988090b766852e088c69d7fb3b551,Andalucía,Jaén,37.7667,-3.7711,1,13,1618.65,3.416667
02d35243ea2e497335cd0f076b45675d,Cataluña,Gerona,41.9833,2.8167,7,14,5794,4.533333
02dcd3e8e25bee036e32512bcf175493,Comunidad de Madrid,Fuenlabrada,40.2833,-3.8,8,14,1491.9,4.3125
02ecc2a19303f05e59ce133fd923fff7,Andalucía,Córdoba,37.8845,-4.7796,1,21,5264.19,3.956522
02f5837340d7eb4f653d676c7256523a,Galicia,Coruña,43.3713,-8.4188,12,30,3883.05,4.4
02f623a8eb246f3c5f7c2f96462654e6,Andalucía,Cádiz,36.535,-6.2975,1,44,6378,4.162791
0307f7565ff85b299b6e5ef162b1b1a9,Andalucía,Huelva,37.25,-6.95,1,7,4728.8,4.285714
034b9387752bfa309f350a70cd45ffa3,Castilla y León,León,42.6056,-5.57,5,8,96,4
038b75b729c8a9a04b0d07cba7eabe86,Andalucía,Huelva,37.25,-6.95,1,2,467,4
039b29ff3b3473435d0cd59040575de9,Andalucía,Jaén,37.7667,-3.7711,1,9,114.9,4.333333
039e6ad9dae79614493083e241147386,Comunidad de Madrid,Madrid,40.4167,-3.7167,8,5,12925,4.6
03a2a6dcbe45d639c4dc2a0d24769c40,Andalucía,Málaga,36.7194,-4.42,1,9,1078.41,3.777778
03bd479e1d9484cdb14104d3023f7321,Comunidad de Madrid,Alcalá de Henares,40.4818,-3.3643,8,3,359.7,4.5
0417b067eeab773d2f7061a726dc477f,Castilla y León,Segovia,40.9481,-4.1184,5,13,1859.18,4.076923
