seller_id;seller_autonomous_community;seller_city
3442f8959a84dea7ee197c632cb2df15;Andalucía;Málaga
d1b65fc7debc3361ea86b5f14c68d2e2;Andalucía;Jaén
ce3ad9de960102d0677a81f5d0bb7b2d;Cataluña;Barcelona
c0f3eea2e14555b6faeea3dd58c1b1c3;Comunidad de Madrid;Madrid
51a04a8a6bdcb23deccc82b0b80742cf;Andalucía;Jaén
c240c4061717ac1806ae6ee72be3533b;Cataluña;Barcelona
e49c26c3edfa46d227d5121a6b6e4d37;Islas Canarias;Puerto del Rosario - Fuerteventura
1b938a7ec6ac5061a66a3766e0e75f90;Andalucía;Jaen
768a86e36ad6aae3d03ee3c6433d61df;Comunidad de Madrid;Madrid
ccc4bbb5f32a6ab2b7066a4130f114e3;Galicia;Coruña
8cb7c5ddf41f4d506eba76e9a4702a25;Aragón;Huesca
a7a9b880c49781da66651ccf4ba9ac38;Andalucía;Granada
8bd0f31cf0a614c658f6763bd02dea69;Comunidad de Madrid;Madrid
05a48cc8859962767935ab9087417fbb;Comunidad de Madrid;Madrid
7b8e8ec35bad4b0ef7e3963650b0a87b;Castilla y León;Zamora
1444c08e64d55fb3c25f0f09c07ffcf2;País Vasco;San Sebastián
166e8f1381e09651983c38b1f6f91c11;Castilla y León;León
e38db885400cd35c71dfd162f2c1dbcf;Región de Murcia;Murcia
d2e753bb80b7d4faa77483ed00edc8ca;País Vasco;San Sebastián
f9ec7093df3a7b346b7bcf7864069ca3;Comunidad de Madrid;Madrid
4e6015589b781adaa5ce7f1892d06bb1;Andalucía;Córdoba
4cf490a58259286ada5ba8525ba9e84a;Andalucía;Huelva
f7496d659ca9fdaf323c0aae84176632;Comunidad de Madrid;Madrid
2ff97219cb8622eaf3cd89b7d9c09824;Andalucía;Huelva
8bd0e3abda539b9479c4b44a691be1ec;Comunidad Valenciana;Castellón
2a1348e9addc1af5aaa619b1a3679d6b;Comunidad de Madrid;Madrid
2078fe5066350e7d220c0ad3a3bbc6c1;Galicia;Pontevedra
116ccb1a1604bc88e4d234a8c23f33de;Andalucía;Granada
430315b7bb4b6e4b3c978f9dfa9b0558;Comunidad de Madrid;Madrid
406822777a0b9eb5c50e442dd4cd3ec5;Andalucía;Jaén
4dbd95a08b31ede5c82d3f861cb1ce1a;Galicia;Coruña
e9e446d01bd10a97a8ffcfc4a3a20cb2;Comunidad de Madrid;Madrid
d52cbce9845184537284a23c3bc3da0e;Castilla y León;Palencia
d9a84e1403de8da0c3aa531d6d108ba6;Comunidad de Madrid;Madrid
9c690ceacd5c66731bf443ea810195cb;Comunidad de Madrid;Alcobendas
1f9ab4708f3056ede07124aad39a2554;Andalucía;Málaga
1961c3e1272bfeceb05d0b78b5bbfdaf;Andalucía;Cádiz
d3e7d37c0df9aef383f3f2a15b0dddfb;Galicia;Ourense
ec2e006556300a79a5a91e4876ab3a56;Comunidad de Madrid;Madrid
b2a6d334e2833acea353624840e25a0e;Comunidad de Madrid;Madrid
d3674f271c91f824f82d24d92011f669;Región de Murcia;Murcia
768de2a4fc06aacecb9a586ccc30746a;Región de Murcia;Murcia
a81466620e46a6970b22ef40379fdfc9;Castilla y León;Valladolid
5c030029b5916fed0986310385ec9009;Castilla y León;Zamora
c0f783394e37cd9c9d7f5f81141450fa;Andalucía;Almería
c353f8fc0ce8344999f17d578eb69a5e;Comunidad Valenciana;Valencia
8444e55c1f13cd5c179851e5ca5ebd00;Comunidad de Madrid;Madrid
28a26ebce31d5918b181ede016fd693b;Comunidad de Madrid;Madrid
41ab63a91b8b264e8c8780368bf1dd5b;Comunidad de Madrid;Madrid
8759e7aedd644f487315e5860962f162;Andalucía;Córdoba
e546117ed9cafbc40239c0c78635c584;Comunidad de Madrid;Madrid
d71d863e5ef30d94e440c11be17dcd8f;Andalucía;Jaén
0c7533c71df861ec58ad7ff999ed0e8d;Andalucía;Granada
ef990a83bbea832f36ebe81376335aa8;Castilla y León;Salamanca
41e0fa5761c886a630994a55c12087e7;Andalucía;Córdoba
0747d5bb69f0586cc869d8af4c50f93e;Cataluña;Gerona
7d294cf9a6a69dc6a0c3e540fff0e039;Castilla y León;Zamora
c89cf7c468a48af70aada384e722f9e2;Cataluña;Gerona
b7ba853e9551f4558440881fd3e5c815;Comunidad Valenciana;Castellón
13c2ed7698b3ca92dad49e849219da59;Galicia;Coruña
cbbd5ae8f53de5f5097cd8217b529e24;Andalucía;Málaga
02ecc2a19303f05e59ce133fd923fff7;Andalucía;Córdoba
c013e57c075a06e5b5c48ee03c525719;Andalucía;Cádiz
55f7a3319d80f7fdf078b8f03e6725fe;Andalucía;Jaén
2d50d6282f8aa2257819a77bfaa0efe0;Andalucía;Granada
b7e1750c1157341d2abd0251e07c186b;Comunidad de Madrid;Madrid
b90e891671cffd9557f33a97dc523645;Galicia;Ourense
a416b6a846a11724393025641d4edd5e;Comunidad de Madrid;Madrid
7e93a43ef30c4f03f38b393420bc753a;Andalucía;Córdoba
5206cc4bc2297c833e6061c49bf9c43f;Andalucía;Jaén
f410c8873029fcc3809b9df6d0b28914;Andalucía;Granada
ef506c96320abeedfb894c34db06f478;Comunidad de Madrid;Madrid
a13aaf2d2886ab9fb30fb9a920160b8f;Castilla y León;Salamanca
7299e27ed73d2ad986de7f7c77d919fa;Comunidad de Madrid;Parla
8a9260f2b0340411d6d2a56bcf4f7378;Comunidad de Madrid;Fuenlabrada
dedcab67899479e4ea5dcc4eba47f587;Castilla y León;Valladolid
b2479f944e1b90cf8a5de1bbfde284d6;Andalucía;Granada
7722b1df1b0e383e000397b2c11e3e19;Andalucía;Granada
731ef20c231d9a7103a425e83fd91271;Castilla y León;León
78813699ffac347fe27dba345a5f1551;Comunidad Valenciana;Valencia
3296662b1331dea51e744505065ae889;Andalucía;Huelva
411f3b52d857390502ee4e4d5ceabc2d;Andalucía;Jaén
bba3293d6f5d5af2f415e004e8b93ae3;Comunidad de Madrid;Madrid
4e7c18b98d84e05cbae3ff0ff03846c2;Andalucía;Sevilla
b56906f7fd1696e043f1bcce164c487b;Andalucía;Jaén
d650b663c3b5f6fb392b6326366efa9a;Andalucía;Málaga
669ae81880e08f269a64487cfb287169;Castilla y León;Salamanca
c2d70ce2c5d0a2eb75e78668236e6dc8;Comunidad de Madrid;Madrid
674207551483fec113276b67b0d871ff;Andalucía;Sevilla
abe42c5d03695b4257b5c6cbf4e6784e;Cataluña;Barcelona
1996942dc085d7773ba77a529b163cd0;Andalucía;Cádiz
79b93a308a97792cf53ac75f46da00b5;Cataluña;Barcelona
7cf4ea70955b00d6b3c22542598e2715;Comunidad de Madrid;Madrid
63ffcb71394dd8ea3872ed9ffda17c74;Cataluña;Barcelona
83353a83fd769dfafa4f21a72b15e3e5;Comunidad de Madrid;Madrid
cda598c48d7c614bc1cad7d8ff6f0010;Andalucía;Granada
d4910f1cdcfdabd48d6b316e395d4a23;Andalucía;Córdoba
709e16e2b25c7474d980076c6bfc4806;Andalucía;Málaga
9dc79dd988ac42f4d56c340d7048420a;Comunidad de Madrid;Madrid
276677b5d08786d5dce7c2149dcce48b;Comunidad de Madrid;Madrid
9c4d31c7e46ab03a43fc06e3142afd4e;Cataluña;Barcelona
512d298ac2a96d1931b6bd30aa21f61d;Cataluña;Barcelona
422be4cc81a457fdb46f47edeb968ae5;Andalucía;Granada
99cd94252748d2bdde08e17858233602;Comunidad de Madrid;Madrid
698624c6632eeba1774924dbea24c700;Comunidad de Madrid;Madrid
8bb48dc19fccaa8613b6229bf7f452a2;Andalucía;Málaga
ad87df7699e83b8a91822a4a0b765c3a;Andalucía;Granada
d6b664fa0667064c6d76394e7848d790;Andalucía;Granada
98f52e1020fe788c10c0418de4393fec;Cataluña;Lleida
62760d278921b5f352461620d68a9cee;Andalucía;Huelva
eb72802c83dc7547529c9546d1a9b8ef;Andalucía;Córdoba
3f9be91358837bff69df67edfa3e42e8;Galicia;Ourense
1d4587203296c8f4ad134dc286fa6db0;Comunidad de Madrid;Madrid
791cfcfe22fe4a771ece27f90017da92;Andalucía;Granada
392f7f2c797e4dc077e4311bde2ab8ce;Cataluña;Barcelona
0c8380b62e38e8a1e6adbeba7eb9688c;Comunidad de Madrid;Alcorcón
37be5a7c751166fbc5f8ccba4119e043;Comunidad de Madrid;Madrid
87d73636a3acf123e842bb890a4db036;Andalucía;Jaen
3d3ccf2b2f8134b10dce9dd446f0e075;Andalucía;Granada
e24d3429d294b2eb200b064ebb035879;Comunidad de Madrid;Madrid
44073f8b7e41514de3b7815dd0237f4f;Región de Murcia;Murcia
05ca864204d09595ae591b93ea9cf93d;Andalucía;Córdoba
9d39404483343dd55c7ae254494d8388;Comunidad de Madrid;Madrid
f9eda05b67bef472deaddbba84aca289;Castilla y León;Valladolid
75745ef7bc7d4f3ea3380f6f5303f514;Región de Murcia;Murcia
0692610d8abe24f287e9fae90ea0bbee;Comunidad de Madrid;Madrid
7b07b3c7487f0ea825fc6df75abd658b;Comunidad de Madrid;Madrid
99002261c568a84cce14d43fcffb43ea;Principado de Asturias;Gijón
e5899683388855d3dabe8913bbe365de;Andalucía;Cádiz
784ba75dd9d20200c4caed3d7a77141a;Comunidad de Madrid;Madrid
099095b050cfe8eb1ddff5317587e96e;Comunidad de Madrid;Madrid
0ad80de75c811326389cfb1daba7d45e;Cataluña;Barcelona
b9a03475e6447e631b6799ec8274800f;Galicia;Lugo
ba6b4a237f92479743cf0ca06b67a9ac;Cataluña;Barcelona
ea00f977a203ff88adf7057cb7806998;Andalucía;Almería
