seller_id;seller_city;review_medie;order_count;product_count;fatturato;best_seller_category;fatturato medio per prodotto;media_deltatime
3442f8959a84dea7ee197c632cb2df15;Málaga;5;2;2;218.7;sport outdoors;109.35;18.5
d1b65fc7debc3361ea86b5f14c68d2e2;Jaén;3.5;37;41;11703.07;luggage;285.4407317;8.945945946
ce3ad9de960102d0677a81f5d0bb7b2d;Barcelona;4;1;1;158;kids;158;4
c0f3eea2e14555b6faeea3dd58c1b1c3;Madrid;5;1;1;79.99;sport outdoors;79.99;5
51a04a8a6bdcb23deccc82b0b80742cf;Jaén;5;1;1;167.99;television & video;167.99;35
c240c4061717ac1806ae6ee72be3533b;Barcelona;#N/D;#N/D;#N/D;59.9;pet food;#N/D;#N/D
e49c26c3edfa46d227d5121a6b6e4d37;Puerto del Rosario - Fuerteventura;4.272727273;33;37;3654.25;videogame console;98.76351351;11.72727273
1b938a7ec6ac5061a66a3766e0e75f90;Jaén;3.966666667;29;34;3987.6;kids;117.2823529;11.27586207
768a86e36ad6aae3d03ee3c6433d61df;Madrid;4.375;16;16;587.46;toys games;36.71625;5.0625
ccc4bbb5f32a6ab2b7066a4130f114e3;Coruña;4.270718232;180;193;74004.62;beauty & personal care;383.4436269;15.86111111
8cb7c5ddf41f4d506eba76e9a4702a25;Huesca;5;1;2;138;sport outdoors;69;16
a7a9b880c49781da66651ccf4ba9ac38;Granada;4.5;3;4;307.6;kitchen & dining;76.9;9.333333333
8bd0f31cf0a614c658f6763bd02dea69;Madrid;4.033333333;31;34;4455.34;furniture;131.0394118;9.709677419
05a48cc8859962767935ab9087417fbb;Madrid;5;1;1;42.9;lawn garden;42.9;11
7b8e8ec35bad4b0ef7e3963650b0a87b;Zamora;3.2;5;5;2244.28;automotive;448.856;22
1444c08e64d55fb3c25f0f09c07ffcf2;San Sebastián;5;1;1;2749;lawn garden;2749;10
166e8f1381e09651983c38b1f6f91c11;León;5;2;2;78.8;0;39.4;14
e38db885400cd35c71dfd162f2c1dbcf;Murcia;3.967741935;30;32;2066.8;kitchen & dining;64.5875;12.7
d2e753bb80b7d4faa77483ed00edc8ca;San Sebastián;3.875;13;16;1320.7;fashion & shoes;82.54375;13.69230769
f9ec7093df3a7b346b7bcf7864069ca3;Madrid;3.8;9;10;519.2;home accessories;51.92;6.222222222
4e6015589b781adaa5ce7f1892d06bb1;Córdoba;5;3;3;684;sport outdoors;228;6
4cf490a58259286ada5ba8525ba9e84a;Huelva;3.714285714;7;8;1254.2;comics;156.775;24.57142857
f7496d659ca9fdaf323c0aae84176632;Madrid;4.086956522;23;26;5087.57;furniture;195.6757692;12.73913043
2ff97219cb8622eaf3cd89b7d9c09824;Huelva;4.302325581;84;98;4476.9;home accessories;45.68265306;8.94047619
8bd0e3abda539b9479c4b44a691be1ec;Castellón;4.666666667;6;13;596.55;beauty & personal care;45.88846154;23.66666667
2a1348e9addc1af5aaa619b1a3679d6b;Madrid;4.270833333;44;59;2843;furniture;48.18644068;20.06818182
2078fe5066350e7d220c0ad3a3bbc6c1;Pontevedra;#N/D;#N/D;1;29.9;furniture;29.9;#N/D
116ccb1a1604bc88e4d234a8c23f33de;Granada;3.966101695;58;73;2004.89;automotive;27.46424658;8.931034483
430315b7bb4b6e4b3c978f9dfa9b0558;Madrid;4.111111111;18;21;3118.4;home accessories;148.4952381;12.44444444
406822777a0b9eb5c50e442dd4cd3ec5;Jaén;4.357142857;43;47;3648.08;toys games;77.6187234;13.48837209
4dbd95a08b31ede5c82d3f861cb1ce1a;Coruña;4.25;4;6;1304.67;book;217.445;12
e9e446d01bd10a97a8ffcfc4a3a20cb2;Madrid;5;3;4;60.05;fragrance;15.0125;5.333333333
d52cbce9845184537284a23c3bc3da0e;Palencia;3.333333333;2;4;75;book;18.75;10
d9a84e1403de8da0c3aa531d6d108ba6;Madrid;4.178571429;53;61;1425.2;toys games;23.36393443;7.452830189
9c690ceacd5c66731bf443ea810195cb;Alcobendas;3.9;10;12;871.8;lawn garden;72.65;7.6
1f9ab4708f3056ede07124aad39a2554;Málaga;3.934210526;76;83;13602.73;kids;163.8883133;14.5
1961c3e1272bfeceb05d0b78b5bbfdaf;Cádiz;1;1;4;896;videogame;224;11
d3e7d37c0df9aef383f3f2a15b0dddfb;Ourense;5;1;1;161;health household;161;13
ec2e006556300a79a5a91e4876ab3a56;Madrid;5;2;8;125.2;hardware;15.65;13.5
b2a6d334e2833acea353624840e25a0e;Madrid;4.304347826;23;25;1650.98;home lighting;66.0392;11
d3674f271c91f824f82d24d92011f669;Murcia;4;20;20;1718.3;fragrance;85.915;13.75
768de2a4fc06aacecb9a586ccc30746a;Murcia;4.384615385;13;14;475.6;comics;33.97142857;14.84615385
a81466620e46a6970b22ef40379fdfc9;Valladolid;4;2;2;321.8;computer accessories;160.9;7
5c030029b5916fed0986310385ec9009;Zamora;4.375;7;10;4164.4;home accessories;416.44;6.142857143
c0f783394e37cd9c9d7f5f81141450fa;Almería;3.75;5;6;249.4;0;41.56666667;14.2
c353f8fc0ce8344999f17d578eb69a5e;Valencia;4.5;2;2;175.98;beauty & personal care;87.99;10
8444e55c1f13cd5c179851e5ca5ebd00;Madrid;4.032258065;90;110;22873.21;fragrance;207.9382727;21.25555556
28a26ebce31d5918b181ede016fd693b;Madrid;5;1;1;29.9;beauty & personal care;29.9;11
41ab63a91b8b264e8c8780368bf1dd5b;Madrid;3.636363636;11;12;2571.95;home lighting;214.3291667;17.36363636
8759e7aedd644f487315e5860962f162;Córdoba;3.333333333;3;3;627;ceiling fans;209;32.66666667
e546117ed9cafbc40239c0c78635c584;Madrid;5;2;2;456;fragrance;228;6.5
d71d863e5ef30d94e440c11be17dcd8f;Jaén;4.35;22;35;11900.9;home emergency kits;340.0257143;19.13636364
0c7533c71df861ec58ad7ff999ed0e8d;Granada;4.142857143;58;72;2989.3;fragrance;41.51805556;10.5862069
ef990a83bbea832f36ebe81376335aa8;Salamanca;4;41;45;4642.59;sport outdoors;103.1686667;17.19512195
41e0fa5761c886a630994a55c12087e7;Córdoba;4.5;4;5;423.6;beauty & personal care;84.72;10
0747d5bb69f0586cc869d8af4c50f93e;Gerona;4.384615385;12;15;346.6;fragrance;23.10666667;14.16666667
7d294cf9a6a69dc6a0c3e540fff0e039;Zamora;4.4;5;5;257.25;kids;51.45;8.8
c89cf7c468a48af70aada384e722f9e2;Gerona;4.333333333;14;14;745;toys games;53.21428571;14.07142857
b7ba853e9551f4558440881fd3e5c815;Castellón;4;1;2;376.8;cell phones;188.4;35
13c2ed7698b3ca92dad49e849219da59;Coruña;4.75;8;9;498.61;fragrance;55.40111111;10.875
cbbd5ae8f53de5f5097cd8217b529e24;Málaga;5;1;2;351.8;kids;175.9;21
02ecc2a19303f05e59ce133fd923fff7;Córdoba;3.954545455;20;25;5264.19;lawn garden;210.5676;10.4
c013e57c075a06e5b5c48ee03c525719;Cádiz;4.302325581;40;46;1971.55;pet supplies;42.85978261;9.45
55f7a3319d80f7fdf078b8f03e6725fe;Jaén;4.136363636;22;22;3013.78;automotive;136.99;6.681818182
2d50d6282f8aa2257819a77bfaa0efe0;Granada;4.361702128;42;48;3353.48;kitchen & dining;69.86416667;13.61904762
b7e1750c1157341d2abd0251e07c186b;Madrid;5;3;4;159.6;sport outdoors;39.9;10.33333333
b90e891671cffd9557f33a97dc523645;Ourense;3.696969697;33;38;4449;beauty & personal care;117.0789474;7.666666667
a416b6a846a11724393025641d4edd5e;Madrid;3.881987578;154;181;25670.72;beauty & personal care;141.8271823;12.56493506
7e93a43ef30c4f03f38b393420bc753a;Córdoba;4.16875;316;342;176431.87;jewelry;515.8826608;11.23734177
5206cc4bc2297c833e6061c49bf9c43f;Jaén;#N/D;#N/D;1;35;automotive;35;#N/D
f410c8873029fcc3809b9df6d0b28914;Granada;3.5;2;2;289.8;automotive;144.9;7.5
ef506c96320abeedfb894c34db06f478;Madrid;4.168316832;302;337;9771.43;cell phones;28.99534125;13.59602649
a13aaf2d2886ab9fb30fb9a920160b8f;Salamanca;5;3;4;1011.52;music instruments;252.88;9.333333333
7299e27ed73d2ad986de7f7c77d919fa;Parla;4.067484663;325;365;34725.43;videogame console;95.13816438;11.19692308
8a9260f2b0340411d6d2a56bcf4f7378;Fuenlabrada;4.75;8;9;1256;pet food;139.5555556;9.875
dedcab67899479e4ea5dcc4eba47f587;Valladolid;4.5;2;2;84;automotive;42;5.5
b2479f944e1b90cf8a5de1bbfde284d6;Granada;4.029411765;96;127;4752.51;kitchen & dining;37.42133858;15.67708333
7722b1df1b0e383e000397b2c11e3e19;Granada;4.107692308;128;146;7094.09;home accessories;48.58965753;8.21875
731ef20c231d9a7103a425e83fd91271;León;3.5;2;3;1692;health household;564;13
78813699ffac347fe27dba345a5f1551;Valencia;4;1;1;152.42;coffee machines;152.42;9
3296662b1331dea51e744505065ae889;Huelva;5;1;1;517.8;bakeware;517.8;3
411f3b52d857390502ee4e4d5ceabc2d;Jaén;4.111111111;20;29;1804.01;hardware;62.20724138;9.55
bba3293d6f5d5af2f415e004e8b93ae3;Madrid;4.411764706;17;17;11702.1;beauty & personal care;688.3588235;12.11764706
4e7c18b98d84e05cbae3ff0ff03846c2;Sevilla;4.355263158;78;88;9177.9;home lighting;104.2943182;12.07692308
