geo_city;geo_latitude;geo_longitude;geo_admin1_code;geo_autonomous_community
Ibiza - Ibiza;38.90883;1.43296;07;Baleares
Calviá - Mallorca;39.5657;2.50621;07;Baleares
Pontevedra;42.431;-8.64435;58;Galicia
Gerona;41.98311;2.82493;56;Cataluña
Toledo;39.8581;-4.02263;54;Castilla-La Mancha
Alicante;38.34517;-0.48149;60;Comunidad Valenciana
Valencia;39.46975;-0.37739;60;Comunidad Valenciana
Coruña;43.37135;-8.396;58;Galicia
Calahorra;42.30506;-1.96521;27;La Rioja
Mérida;38.91611;-6.34366;57;Extremadura
Málaga;36.72016;-4.42034;51;Andalucía
Valladolid;41.65518;-4.72372;55;Castilla y León
Cuenca;40.06667;-2.13333;54;Castilla-La Mancha
Burgos;42.34106;-3.70184;55;Castilla y León
Murcia;37.98704;-1.13004;31;Región de Murcia
Cáceres;39.47649;-6.37224;57;Extremadura
Torrelavega;43.34943;-4.04785;39;Cantabria
Parla;40.23604;-3.76752;29;Comunidad de Madrid
Vitoria;42.84998;-2.67268;59;País Vasco
Salamanca;40.96882;-5.66388;55;Castilla y León
Barcelona;41.38879;2.15899;56;Cataluña
Castellón;39.98567;-0.04935;60;Comunidad Valenciana
Almería;36.83814;-2.45974;51;Andalucía
Tarragona;41.11667;1.25;56;Cataluña
Albacete;38.99424;-1.85643;54;Castilla-La Mancha
Ávila;40.65724;-4.69951;55;Castilla y León
Sevilla;37.38283;-5.97317;51;Andalucía
Cádiz;36.52672;-6.2891;51;Andalucía
Pamplona;42.81687;-1.64323;32;Comunidad Foral de Navarra
Madrid;40.4165;-3.70256;29;Comunidad de Madrid
Santa Cruz de Tenerife;28.46824;-16.25462;53;Islas Canarias
Arrecife - Lanzarote;28.96302;-13.54769;53;Islas Canarias
Tudela;42.06166;-1.60452;32;Comunidad Foral de Navarra
San Sebastián;43.31283;-1.97499;59;País Vasco
Zamora;41.50633;-5.74456;55;Castilla y León
Logroño;42.46667;-2.45;27;La Rioja
Fuenlabrada;40.28419;-3.79415;29;Comunidad de Madrid
Granada;37.18817;-3.60667;51;Andalucía
Torrejón de Ardoz;40.45535;-3.46973;29;Comunidad de Madrid
Alcorcón;40.34582;-3.82487;29;Comunidad de Madrid
Palma de Mallorca - Mallorca;39.56939;2.65024;07;Baleares
Jaén;37.76922;-3.79028;51;Andalucía
Avilés;43.55473;-5.92483;34;Principado de Asturias
Manacor - Mallorca;39.56964;3.20955;07;Baleares
Huelva;37.26638;-6.94004;51;Andalucía
Lleida;41.61674;0.62218;56;Cataluña
Teruel;40.3456;-1.10646;52;Aragón
Segovia;40.94808;-4.11839;55;Castilla y León
Alcobendas;40.54746;-3.64197;29;Comunidad de Madrid
Soria;41.76401;-2.46883;55;Castilla y León
Las Palmas de Gran Canaria;28.09973;-15.41343;53;Islas Canarias
Zaragoza;41.65606;-0.87734;52;Aragón
Oviedo;43.36029;-5.84476;34;Principado de Asturias
Santander;43.46472;-3.80444;39;Cantabria
Huesca;42.13615;-0.4087;52;Aragón
Lugo;43.00992;-7.55602;58;Galicia
Puerto del Rosario - Fuerteventura;28.50038;-13.86272;53;Islas Canarias
Córdoba;37.89155;-4.77275;51;Andalucía
Móstoles;40.32234;-3.86496;29;Comunidad de Madrid
Palencia;42.00955;-4.52406;55;Castilla y León
Leganés;40.32718;-3.7635;29;Comunidad de Madrid
Getafe;40.30571;-3.73295;29;Comunidad de Madrid
Bilbao;43.26271;-2.92528;59;País Vasco
Alcalá de Henares;40.48205;-3.35996;29;Comunidad de Madrid
Badajoz;38.87789;-6.97061;57;Extremadura
Gijón;43.53573;-5.66152;34;Principado de Asturias
Ourense;42.33669;-7.86407;58;Galicia
León;42.60003;-5.57032;55;Castilla y León
